airline,avail_seat_km_per_week,incidents_85_99,fatal_accidents_85_99,fatalities_85_99,incidents_00_14,fatal_accidents_00_14,fatalities_00_14
Aeroflot,1197672318,76,14,128,6,1,88
Aeromexico,596871813,3,1,64,5,0,0
Air France,3004002661,14,4,79,6,2,337
Air India,869253552,2,1,329,4,1,158
Air New Zealand,710174817,3,0,0,5,1,7
Alaska Airlines,965346773,5,0,0,5,1,88
Alitalia,698012498,7,2,50,4,0,0
All Nippon Airways,1841234177,3,1,1,7,0,0
American,5228357340,21,5,101,17,3,416
British Airways,3179760952,4,0,0,6,0,0
China Airlines,813216487,12,6,535,2,1,225
Delta / Northwest,6525658894,24,12,407,24,2,51
Egyptair,557699891,8,3,282,4,1,14
Ethiopian Airlines,488560643,25,5,167,5,2,92
Garuda Indonesia,613356665,10,3,260,4,2,22
Gulf Air,301379762,1,0,0,3,1,143
Iberia,1173203126,4,1,148,5,0,0
Kenya Airways,277414794,2,0,0,2,2,283
Malaysia Airlines,1039171244,3,1,34,3,2,537
Pakistan International,348563137,8,3,234,10,2,46
Philippine Airlines,413007158,7,4,74,2,1,1
Qantas,1917428984,1,0,0,5,0,0
SAS,682971852,5,0,0,6,1,110
Saudi Arabian,859673901,7,2,313,11,0,0
Singapore Airlines,2376857805,2,2,6,2,1,83
Southwest Airlines,3276525770,1,0,0,8,0,0
Sri Lankan / AirLanka,325582976,2,1,14,4,0,0
TACA,259373346,3,1,3,1,1,3
TAM,1509195646,8,3,98,7,2,188
Thai Airways,1702802250,8,4,308,2,1,1
Turkish Airlines,1946098294,8,3,64,8,2,84
United / Continental,7139291291,19,8,319,14,2,109
US Airways / America West,2455687887,16,7,224,11,2,23
